"ProcessId","ParentProcessId","Name","ExecutablePath","CommandLine"
"14148","1116","SecurityHealthService.exe",,
"10736","1116","svchost.exe",,
"680","1288","ShellExperienceHost.exe","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","""C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca"
"3820","1288","RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding"
"4748","9652","OneDrive.exe","C:\Program Files\Microsoft OneDrive\OneDrive.exe","""C:\Program Files\Microsoft OneDrive\OneDrive.exe"" /background"
"5960","1116","SearchIndexer.exe",,
"4688","9652","chrome.exe","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --no-startup-window /prefetch:5"
"6044","4688","chrome.exe","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=crashpad-handler ""--user-data-dir=C:\Users\hp\AppData\Local\Google\Chrome\User Data"" /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\hp\AppData\Local\Google\Chrome\User Data\Crashpad"" ""--metrics-dir=C:\Users\hp\AppData\Local\Google\Chrome\User Data"" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=150.0.7871.125 --initial-client-data=0x12c,0x130,0x134,0x108,0x138,0x7ffa1679ba50,0x7ffa1679ba5c,0x7ffa1679ba68"
"10988","4688","chrome.exe","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=gpu-process --no-pre-read-main-dll --gpu-preferences=UAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAOAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAAAABgAAAAAAAAAGAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --metrics-shmem-handle=1856,i,2323269102314897201,18034103584260613405,262144 --field-trial-handle=1964,i,16183301337834698233,15382072491218108408,262144 --variations-seed-version=20260718-030031.422000-production --pseudonymization-salt-handle=1932,i,13497925139381528777,3784421932513333648,4 --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1960 /prefetch:2"
"11080","4688","chrome.exe","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --metrics-shmem-handle=2200,i,2615135064809291237,6610478237951628955,524288 --field-trial-handle=1964,i,16183301337834698233,15382072491218108408,262144 --variations-seed-version=20260718-030031.422000-production --pseudonymization-salt-handle=1932,i,13497925139381528777,3784421932513333648,4 --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2324 /prefetch:11"
